text,label,temperature,humidity,heat_index
"Temperature is 24.9°C, humidity is 50.0%, heat index is normal.",Low,24.9,50.0,25.83
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
"Temperature is 36.0°C, humidity is 60.0%, heat index exceeds threshold.",Severe,36.0,60.0,61.2
"Sensor readings show 30.9 degrees Celsius, 48.0 percent humidity, heat index is high.",Moderate,30.9,48.0,32.08
"Temperature at 38.5°C (trend rising), humidity at 61.5%.",Severe,38.5,61.5,64.64999999999999
"Alert: Temperature 25.7°C, humidity 44.0%. Heat index is normal.",Low,25.7,44.0,26.16
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.9,50.0,25.83
"Temperature at 30.8°C (trend stable), humidity at 50.0%.",Moderate,30.8,50.0,32.29
"Temperature at 24.9°C (trend stable), humidity at 50.0%.",Low,24.9,50.0,25.83
"Temperature at 30.8°C (trend stable), humidity at 50.0%.",Moderate,30.8,50.0,32.29
"Current conditions: 39.0°C temperature, 61.8% humidity, heat index exceeds threshold.",Severe,39.0,61.8,65.34
"Environment: 30.9°C, 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Alert: Temperature 44.0°C, humidity 64.8%. Heat index exceeds threshold.",Severe,44.0,64.8,72.24
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.8,44.0,26.22
"Temperature is warm at 31.0°C, humidity is low.",Moderate,31.0,49.0,32.42
"Alert: Temperature 24.8°C, humidity 50.0%. Heat index is normal.",Low,24.8,50.0,25.78
"Alert: Temperature 30.9°C, humidity 48.0%. Heat index is high.",Moderate,30.9,48.0,32.08
"Temperature is warm at 27.2°C, humidity is low.",Moderate,27.2,45.0,27.29
"Temperature at 31.0°C (trend stable), humidity at 50.0%.",Moderate,31.0,50.0,32.62
"Current conditions: 30.8°C temperature, 49.0% humidity, heat index is high.",Moderate,30.8,49.0,32.1
Temperature stable to 30.9°C. Humidity stable to 50.0%.,Moderate,30.9,50.0,32.45
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
"Temperature is warm at 30.8°C, humidity is moderate.",Moderate,30.8,50.0,32.29
"Current conditions: 31.0°C temperature, 50.0% humidity, heat index is high.",Moderate,31.0,50.0,32.62
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.7,44.0,26.16
"Alert: Temperature 30.9°C, humidity 50.0%. Heat index is high.",Moderate,30.9,50.0,32.45
"Current conditions: 30.9°C temperature, 50.0% humidity, heat index is high.",Moderate,30.9,50.0,32.45
"Environment: 30.9°C, 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Alert: Temperature 30.8°C, humidity 50.0%. Heat index is high.",Moderate,30.8,50.0,32.29
"Sensor readings show 31.0 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,31.0,50.0,32.62
Temperature stable to 31.0°C. Humidity stable to 50.0%.,Moderate,31.0,50.0,32.62
"Environment: 31.0°C, 50.0%, heat index is high.",Moderate,31.0,50.0,32.62
"Temperature is comfortable at 26.3°C, humidity is low.",Low,26.3,48.0,26.72
"Temperature is 26.8°C, humidity is 46.0%, heat index is elevated.",Low,26.8,46.0,27.02
"Temperature at 30.9°C (trend stable), humidity at 50.0%.",Moderate,30.9,50.0,32.45
38.5°C and 61.5% humidity detected.,Severe,38.5,61.5,64.64999999999999
"Current conditions: 24.9°C temperature, 50.0% humidity, heat index is normal.",Low,24.9,50.0,25.83
"Environment: 31.0°C, 49.0%, heat index is high.",Moderate,31.0,49.0,32.42
"Temperature is warm at 30.9°C, humidity is moderate.",Moderate,30.9,50.0,32.45
"Environment: 26.9°C, 47.0%, heat index is elevated.",Low,26.9,47.0,27.15
"Environment: 31.0°C, 50.0%, heat index is high.",Moderate,31.0,50.0,32.62
"Temperature is comfortable at 24.9°C, humidity is moderate.",Low,24.9,50.0,25.83
"Current conditions: 25.8°C temperature, 44.0% humidity, heat index is normal.",Low,25.8,44.0,26.22
Temperature stable to 30.9°C. Humidity stable to 48.0%.,Moderate,30.9,48.0,32.08
"Sensor readings show 30.9 degrees Celsius, 50.0 percent humidity, heat index is high.",Moderate,30.9,50.0,32.45
Temperature stable to 24.8°C. Humidity stable to 50.0%.,Low,24.8,50.0,25.78
"Alert: Temperature 30.8°C, humidity 49.0%. Heat index is high.",Moderate,30.8,49.0,32.1
"Temperature is 30.9°C, humidity is 48.0%, heat index is high.",Moderate,30.9,48.0,32.08
"Temperature is 24.6°C, humidity is 50.0%, heat index is normal.",Low,24.6,50.0,25.67
Temperature stable to 25.8°C. Humidity stable to 44.0%.,Low,25.8,44.0,26.22
"Current conditions: 31.0°C temperature, 49.0% humidity, heat index is high.",Moderate,31.0,49.0,32.42
Temperature stable to 30.9°C. Humidity stable to 49.0%.,Moderate,30.9,49.0,32.26
"Temperature is comfortable at 25.8°C, humidity is low.",Low,25.8,44.0,26.22
"Temperature at 30.9°C (trend stable), humidity at 48.0%.",Moderate,30.9,48.0,32.08
"Warning: temperature is comfortable, humidity is moderate. Heat index concern.",Low,24.9,50.0,25.83
"Temperature is 41.0°C, humidity is 63.0%, heat index exceeds threshold.",Severe,41.0,63.0,68.1
"Current conditions: 30.8°C temperature, 49.0% humidity, heat index is high.",Moderate,30.8,49.0,32.1
"Temperature is warm at 31.0°C, humidity is moderate.",Moderate,31.0,50.0,32.62
"Warning: temperature is comfortable, humidity is low. Heat index concern.",Low,25.7,44.0,26.16
"Temperature is 30.9°C, humidity is 50.0%, heat index is high.",Moderate,30.9,50.0,32.45
"Current conditions: 30.8°C temperature, 49.0% humidity, heat index is high.",Moderate,30.8,49.0,32.1
30.9°C and 50.0% humidity detected.,Moderate,30.9,50.0,32.45
"Environment: 30.8°C, 49.0%, heat index is high.",Moderate,30.8,49.0,32.1
"Temperature at 30.9°C (trend stable), humidity at 48.0%.",Moderate,30.9,48.0,32.08
"Temperature is 24.4°C, humidity is 51.0%, heat index is normal.",Low,24.4,51.0,25.57
